iucn_sid,sciname,class,common,category
22696641,Phaethon rubricauda,aves,Red-tailed Tropicbird,LC
22694794,Anous stolidus,aves,Brown Noddy,LC
22694799,Anous minutus,aves,Black Noddy,EX
22697738,Fregata ariel,aves,Lesser Frigatebird,LC
22696645,Phaethon lepturus,aves,White-tailed Tropicbird,LC
22698188,Ardenna carneipes,aves,Flesh-footed Shearwater,NT
22698175,Ardenna pacifica,aves,Wedge-tailed Shearwater,EX
22698216,Ardenna tenuirostris,aves,Short-tailed Shearwater,LC
22698132,Bulweria bulwerii,aves,Bulwer's Petrel,EX
22697733,Fregata minor,aves,Great Frigatebird,LC
22694740,Onychoprion fuscatus,aves,Sooty Tern,LC
22698209,Ardenna grisea,aves,Sooty Shearwater,NT
22698350,Phoebastria nigripes,aves,Black-footed Albatross,NT
132341128,Hydrobates castro,aves,Band-rumped Storm-petrel,LC
132438298,Hydrobates leucorhous,aves,Leach's Storm-petrel,VU
132467692,Puffinus newelli,aves,Newell's Shearwater,CR
45959182,Puffinus lherminieri,aves,Audubon's shearwater,EX
13486514,Ablennes hians,actinopterygii,Flat Needlefish,LC
178011,Acanthurus leucopareius,actinopterygii,Whitebar Surgeonfish,LC
177999,Acanthurus nigroris,actinopterygii,Bluelined Surgeonfish,LC
194299,Albula glossodonta,actinopterygii,Shortjaw Bonefish,VU
190125,Aluterus scriptus,actinopterygii,Scribbled Leatherjacket Filefish,LC
NA,Amblygobius phalaena,actinopterygii,Whitebarred goby,NE
69921994,Amanses scopas,actinopterygii,Broom Filefish,LC
NA,Antennarius coccineus,actinopterygii,NA,NE
155146,Anampses melanurus,actinopterygii,White-spotted Wrasse,LC
NA,Apogon angustatus,actinopterygii,NA,NE
194289,Aphareus furca,actinopterygii,Small-toothed Jobfish,LC
165822,Apolemichthys griffisi,actinopterygii,Griffis Angelfish,LC
NA,Apogon kallopterus,actinopterygii,NA,NE
194379,Aprion virescens,actinopterygii,Green Jobfish,LC
193191,Asterropteryx semipunctata,actinopterygii,Star-finned Goby,LC
20256729,Atule mate,actinopterygii,Yellowtail Scad,LC
NA,Balistapus undulatus,actinopterygii,Orange-lined triggerfish,NE
NA,Balistoides viridescens,actinopterygii,Titan triggerfish,NE
154833,Bothus mancus,actinopterygii,Flowery Flounder,LC
46076701,Brotula multibarbata,actinopterygii,Pacific Bearded Brotula,LC
161526,Carcharhinus albimarginatus,chondrichthyes,Silvertip Shark,VU
155097,Caesio caerulaurea,actinopterygii,Blue and Gold Fusilier,LC
69922228,Cantherhines dumerilii,actinopterygii,Whitespotted Filefish,LC
20429455,Carangoides ferdau,actinopterygii,Blue Trevally,LC
41736,Carcharhinus galapagensis,chondrichthyes,Galapagos Shark,LC
