iucn_sid,kingdom,phylum,class,order,family,genus,sciname,population,category,subspecies,rank,subpopulation,country_code
133132,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,Acropora aspera,NA,VU,NA,NA,NA,UM
133134,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Montastraea,Montastraea annularis,NA,EN,NA,NA,NA,UM
133135,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ASTROCOENIIDAE,Madracis,Madracis pharensis,NA,LC,NA,NA,NA,UM
133137,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Astreopora,Astreopora scabra,NA,LC,NA,NA,NA,UM
133144,ANIMALIA,CNIDARIA,HYDROZOA,MILLEPORINA,MILLEPORIDAE,Millepora,Millepora alcicornis,NA,LC,NA,NA,NA,UM
133146,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,DENDROPHYLLIIDAE,Turbinaria,Turbinaria frondens,NA,LC,NA,NA,NA,UM
133148,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Ctenactis,Ctenactis echinata,NA,LC,NA,NA,NA,UM
133153,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,AGARICIIDAE,Agaricia,Agaricia fragilis,NA,DD,NA,NA,NA,UM
133155,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Diploria,Diploria strigosa,NA,LC,NA,NA,NA,UM
133156,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Alveopora,Alveopora verrilliana,NA,VU,NA,NA,NA,UM
133157,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,MUSSIDAE,Scolymia,Scolymia vitiensis,NA,NT,NA,NA,NA,UM
133158,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Podabacia,Podabacia crustacea,NA,LC,NA,NA,NA,UM
133160,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Acropora,Acropora austera,NA,NT,NA,NA,NA,UM
133161,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Platygyra,Platygyra contorta,NA,LC,NA,NA,NA,UM
133165,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,OCULINIDAE,Oculina,Oculina varicosa,NA,VU,NA,NA,NA,UM
133166,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Halomitra,Halomitra pileus,NA,LC,NA,NA,NA,UM
133167,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FAVIIDAE,Cyphastrea,Cyphastrea serailia,NA,LC,NA,NA,NA,UM
133172,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PECTINIIDAE,Echinophyllia,Echinophyllia aspera,NA,LC,NA,NA,NA,UM
133175,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,Montipora efflorescens,NA,NT,NA,NA,NA,UM
133176,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,SIDERASTREIDAE,Coscinaraea,Coscinaraea exesa,NA,LC,NA,NA,NA,UM
133183,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,FUNGIIDAE,Fungia,Fungia granulosa,NA,LC,NA,NA,NA,UM
133185,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,Montipora calcarea,NA,VU,NA,NA,NA,UM
133186,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,ACROPORIDAE,Montipora,Montipora floweri,NA,LC,NA,NA,NA,UM
133187,ANIMALIA,CNIDARIA,ANTHOZOA,SCLERACTINIA,PORITIDAE,Porites,Porites arnaudi,NA,LC,NA,NA,NA,UM
